Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.70,,17.99,8/17/2022,9/13/2022,Agreement.Promotion.6650221
112429717,TAILS COCKTAILS ESPRESSO MARTINI COCKTAIL 500ML (ABV 14.9%),,1.75,,12.00,8/15/2022,9/13/2022,Agreement.Promotion.6650489
112429830,TAILS COCKTAILS PASSION FRUIT MARTINI COCKTAIL 500ML (ABV 14.9%),,1.75,,12.00,8/15/2022,9/13/2022,Agreement.Promotion.6650489
112429928,TAILS COCKTAILS WHISKY SOUR 500ML (ABV 14.9%),,1.75,,12.00,8/15/2022,9/13/2022,Agreement.Promotion.6650489
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,17.99,8/17/2022,9/13/2022,Agreement.Promotion.6650551
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,8/17/2022,9/13/2022,Agreement.Promotion.6650592
111947504,MARTINI VIBRANTE NON-ALCOHOLIC 75CL,,,,8.00,8/17/2022,10/2/2022,Agreement.Promotion.6668222
111947504,MARTINI VIBRANTE NON-ALCOHOLIC 75CL,,1.17,,8.00,8/17/2022,10/2/2022,Agreement.Promotion.6758533
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.26,,14.00,9/14/2022,10/11/2022,Agreement.Promotion.6942527
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,2.38,,20.00,9/14/2022,10/11/2022,Agreement.Promotion.6942801
112442364,BOMBAY CITRON PRESSE GIN 70CL (ABV 37.5%),,2.38,,20.00,9/14/2022,10/11/2022,Agreement.Promotion.6942829
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.81,,22.00,9/14/2022,10/11/2022,Agreement.Promotion.6942847
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,14.00,9/14/2022,10/11/2022,Agreement.Promotion.6949563
111688573,BOMBAY SAPPHIRE SUNSET 70CL (ABV 43%),,,,20.00,9/28/2022,10/11/2022,Agreement.Promotion.7167765
111947504,MARTINI VIBRANTE NON-ALCOHOLIC 75CL,,1.17,,8.00,10/3/2022,10/11/2022,Agreement.Promotion.6935795
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,14.00,10/12/2022,11/1/2022,Agreement.Promotion.7193411
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.70,,18.00,10/12/2022,11/1/2022,Agreement.Promotion.7193448
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,10/12/2022,11/1/2022,Agreement.Promotion.7193520
110620729,BACARDI SPICED 1L,,,,18.75,10/12/2022,11/1/2022,Agreement.Promotion.7193520
109191816,MARTINI EXTRA DRY 75CL (ABV 15.0%),,,,8.00,10/12/2022,12/31/2022,Agreement.Promotion.7203935
109191883,MARTINI ROSSO 75CL (ABV 15.0%),,,,8.00,10/12/2022,12/31/2022,Agreement.Promotion.7203935
110566591,MARTINI BIANCO 750ML (ABV 15%),,,,8.00,10/12/2022,12/31/2022,Agreement.Promotion.7203935
110620729,BACARDI SPICED 1L,,0.00,,18.99,10/12/2022,10/25/2022,Agreement.Promotion.7288710
101550917,BACARDI WHITE RUM 37.5%   1LTR,,0.00,,18.99,10/12/2022,10/25/2022,Agreement.Promotion.7288774
110620729,BACARDI SPICED 1L,,0.00,,17.99,10/26/2022,11/1/2022,Agreement.Promotion.7354333
101550917,BACARDI WHITE RUM 37.5%   1LTR,,0.00,,17.99,10/25/2022,11/1/2022,Agreement.Promotion.7354427
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,16.99,11/2/2022,11/22/2022,Agreement.Promotion.7414676
110620729,BACARDI SPICED 1L,,,,16.99,11/2/2022,11/22/2022,Agreement.Promotion.7414676
110620729,BACARDI SPICED 1L,,,,17.50,11/2/2022,11/22/2022,Agreement.Promotion.7419017
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,11/2/2022,11/22/2022,Agreement.Promotion.7419056
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.89,,20.99,11/2/2022,11/22/2022,Agreement.Promotion.7494396
101524487,ASTI MARTINI 75CL,,,,7.50,11/1/2022,12/4/2022,Agreement.Promotion.7517041
112429717,TAILS COCKTAILS ESPRESSO MARTINI COCKTAIL 500ML (ABV 14.9%),,1.75,,11.99,11/23/2022,1/1/2023,Agreement.Promotion.7681474
112429830,TAILS COCKTAILS PASSION FRUIT MARTINI COCKTAIL 500ML (ABV 14.9%),,1.75,,11.99,11/23/2022,1/1/2023,Agreement.Promotion.7681474
112429928,TAILS COCKTAILS WHISKY SOUR 500ML (ABV 14.9%),,1.75,,11.99,11/23/2022,1/1/2023,Agreement.Promotion.7681474
110620729,BACARDI SPICED 1L,,,,16.99,11/23/2022,1/1/2023,Agreement.Promotion.7684927
110620729,BACARDI SPICED 1L,,,,17.50,11/23/2022,1/1/2023,Agreement.Promotion.7684950
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,16.99,11/23/2022,1/1/2023,Agreement.Promotion.7685045
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,11/23/2022,1/1/2023,Agreement.Promotion.7685085
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.47,,12.99,11/23/2022,1/1/2023,Agreement.Promotion.7685132
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.47,,13.13,11/23/2022,1/1/2023,Agreement.Promotion.7685148
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,2.38,,19.99,11/23/2022,1/1/2023,Agreement.Promotion.7685494
112442364,BOMBAY CITRON PRESSE GIN 70CL (ABV 37.5%),,2.38,,19.99,11/23/2022,1/1/2023,Agreement.Promotion.7685560
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.89,,20.99,11/23/2022,1/1/2023,Agreement.Promotion.7685577
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.91,,16.99,11/23/2022,1/1/2023,Agreement.Promotion.7685601
