Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.93,,17,29/03/2023,18/04/2023,Agreement.Promotion.8814279
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,29/03/2023,18/04/2023,Agreement.Promotion.8814294
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.93,,17,29/03/2023,18/04/2023,Agreement.Promotion.8850449
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,29/03/2023,18/04/2023,Agreement.Promotion.8850483
111765971,HIGHLAND PARK 10 YEAR OLD VIKING SCARS 70CL (ABV 40%),,2.17,,27,19/04/2023,16/05/2023,Agreement.Promotion.8855418
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,2.29,,14,19/04/2023,16/05/2023,Agreement.Promotion.8856153
101534933,COURVOISIER VS COGNAC 35CL 40%,,0.68,,15,19/04/2023,16/05/2023,Agreement.Promotion.8856191
101543215,COURVOISIER VSOP 70CL 40%,,3.04,,32,19/04/2023,16/05/2023,Agreement.Promotion.8856232
101575364,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,,2.09,,15,19/04/2023,16/05/2023,Agreement.Promotion.8856579
106758451,AUCHENTOSHAN AMERICAN OAK SINGLE MALT WHISKY 40% 70CL,,5.16,,22,19/04/2023,16/05/2023,Agreement.Promotion.8856691
110772554,LAPHROAIG ISLAY SINGLE MALT SCOTCH WHISKY AGED 10 YEARS 70CL (ABV 40%),,4.59,,30,19/04/2023,16/05/2023,Agreement.Promotion.8857078
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.76,,17,04/04/2023,18/04/2023,Agreement.Promotion.9093978
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,2.7,,14,19/04/2023,16/05/2023,Agreement.Promotion.9182105
101543215,COURVOISIER VSOP 70CL 40%,,4.26,,32,19/04/2023,16/05/2023,Agreement.Promotion.9182192
