,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
317,CL023,ASD01,MS,,,,VOLUME REBATE,7000082105,2019-06-01,,,2019-06-01,2019-06-01,,,2723.16,0.2,3267.792,,VOLUME REBATE Look on image,Automatic
318,CL023,ASD01,PR,E,,,Volume Agreement,7000094422,2022-07-15,1000179499,51074408.0,2022-07-01,2022-07-13,7617.0,0.15,1142.5499999999997,0.2,1371.0599999999997,,,Automatic
319,CL023,ASD01,PR,E,,,Volume Agreement,7000094449,2022-07-15,1000186063,50201911.0,2022-07-01,2022-07-13,39177.0,0.6,23506.2,0.2,28207.44,,,Automatic
320,CL023,ASD01,FX,,,,Fixed Agreement,7000094476,2021-07-27,1000120644,,2021-07-27,2021-07-27,,,1275.00,0.2,1530.0,,ASDA Media Partnership Income,Automatic
321,CL023,ASD01,PR,E,,,Volume Agreement,7000094621,2022-07-15,1000190020,9647032.0,2022-07-06,2022-07-13,23769.0,1.0,23769,0.2,28522.8,,,Automatic
322,CL023,ASD01,FX,,,,Fixed Agreement,7000094677,2020-07-28,1000046666,,2020-07-16,2020-07-16,,,50000.00,0.2,60000.0,,Promotional Funding,Automatic
323,CL023,ASD01,FX,,,,Fixed Agreement,7000094687,2023-07-27,1000243595,,2023-07-27,2023-07-27,,,5973.65,0.2,7168.379999999999,,ASDA Media Partnership Income,Automatic
324,CL023,ASD01,FX,,,,Fixed Agreement,7000094702,2023-07-27,1000244067,,2023-07-27,2023-07-27,,,5500.00,0.2,6600.0,,ASDA Media Partnership Income,Automatic
325,CL023,ASD01,FX,,,,Fixed Agreement,7000095271,2020-07-30,1000046230,,2020-07-16,2020-07-16,,,892.50,0.2,1071.0,,ASDA Media Partnership Income,Automatic
326,CL023,ASD01,PR,E,,,Volume Agreement,7000095382,2022-07-15,1000184359,50402845.0,2022-07-01,2022-07-13,8327.0,2.0,16654,0.2,19984.8,,,Automatic
327,CL023,ASD01,PR,E,,,Volume Agreement,7000095386,2022-07-15,1000184947,9620082.0,2022-07-01,2022-07-13,4157.0,0.03,124.71000000000002,0.2,149.65200000000002,,,Automatic
328,CL023,ASD01,FX,,,,Fixed Agreement,7000095398,2021-07-27,1000119318,,2021-07-27,2021-07-27,,,708.16,0.2,849.7919999999999,,ASDA Media Partnership Income,Automatic
329,CL023,ASD01,PR,E,,,Volume Agreement,7000095402,2022-07-15,1000187082,51074408.0,2022-07-01,2022-07-13,7617.0,0.1,761.7,0.2,914.0400000000001,,,Automatic
330,CL023,ASD01,FX,,,,Fixed Agreement,7000095466,2021-07-27,1000120809,,2021-07-27,2021-07-27,,,2633.67,0.2,3160.404,,ASDA Media Partnership Income,Automatic
331,CL023,ASD01,MS,,,,,7000095527,2020-07-29,,,2020-07-29,2020-07-29,,,390.00,0.2,468.0,, Look on image,Automatic
332,CL023,ASD01,MS,,,,,7000095528,2020-07-29,,,2020-07-29,2020-07-29,,,157.50,0.2,189.0,, Look on image,Automatic
333,CL023,ASD01,MS,,,,,7000095529,2020-07-29,,,2020-07-29,2020-07-29,,,157.50,0.2,189.0,, Look on image,Automatic
334,CL023,ASD01,MS,,,,,7000095530,2020-07-29,,,2020-07-29,2020-07-29,,,157.50,0.2,189.0,, Look on image,Automatic
335,CL023,ASD01,PR,E,,,Volume Agreement,7000095546,2022-07-15,1000185147,51074408.0,2022-07-01,2022-07-13,3170.0,0.1,317.0,0.2,380.4,,,Automatic
336,CL023,ASD01,PR,E,,,Volume Agreement,7000095559,2022-07-15,1000187351,9647032.0,2022-07-01,2022-07-13,41654.0,0.6,24992.399999999998,0.2,29990.879999999997,,,Automatic
337,CL023,ASD01,FX,,,,Fixed Agreement,7000095828,2021-07-27,1000119858,,2021-07-27,2021-07-27,,,349.40,0.2,419.28,,ASDA Media Partnership Income,Automatic
338,CL023,ASD01,FX,,,,Fixed Agreement,7000095868,2022-07-27,1000187150,,2022-07-26,2022-07-26,,,1288.03,0.2,1545.636,,ASDA Media Partnership Income,Automatic
339,CL023,ASD01,FX,,,,Fixed Agreement,7000095896,2021-07-27,1000121037,,2021-07-27,2021-07-27,,,332.27,0.2,398.724,,ASDA Media Partnership Income,Automatic
340,CL023,ASD01,FX,,,,Fixed Agreement,7000095952,2023-07-27,1000244664,,2023-07-27,2023-07-27,,,14025.00,0.2,16830.0,,ASDA Media Partnership Income,Automatic
341,CL023,ASD01,FX,,,,Fixed Agreement,7000095963,2022-07-27,1000192262,,2022-07-26,2022-07-26,,,72850.00,0.2,87420.0,,ASDA Media Partnership Income,Automatic
342,CL023,ASD01,FX,,,,Fixed Agreement,7000095993,2022-07-27,1000192857,,2022-07-26,2022-07-26,,,848.69,0.2,1018.428,,ASDA Media Partnership Income,Automatic
343,CL023,ASD01,FX,,,,Fixed Agreement,7000095994,2021-07-27,1000122127,,2021-07-27,2021-07-27,,,1275.00,0.2,1530.0,,ASDA Media Partnership Income,Automatic
344,CL023,ASD01,FX,,,,Fixed Agreement,7000096006,2023-07-27,1000241975,,2023-07-27,2023-07-27,,,2400.00,0.2,2880.0,,ASDA Media Partnership Income,Automatic
345,CL023,ASD01,FX,,,,Fixed Agreement,7000096041,2023-07-27,1000243807,,2023-07-27,2023-07-27,,,16500.00,0.2,19800.0,,ASDA Media Partnership Income,Automatic
346,CL023,ASD01,FX,,,,Fixed Agreement,7000096275,2020-07-30,1000048549,,2020-07-16,2020-07-16,,,16745.00,0.2,20094.0,,ASDA Media Partnership Income,Automatic
347,CL023,ASD01,FX,,,,Fixed Agreement,7000096289,2020-07-30,1000049030,,2020-07-16,2020-07-16,,,2550.00,0.2,3060.0,,ASDA Media Partnership Income,Automatic
348,CL023,ASD01,FX,,,,Fixed Agreement,7000096335,2020-07-30,1000050126,,2020-07-30,2020-07-30,,,23989.95,0.2,28787.94,,ASDA Media Partnership Income,Automatic
349,CL023,ASD01,MS,,,,,7000096437,2019-06-27,,,2019-06-27,2019-06-27,,,818.00,0.2,981.5999999999999,, Look on image,Automatic
350,CL023,ASD01,MS,,,,,7000096438,2019-06-27,,,2019-06-27,2019-06-27,,,818.00,0.2,981.5999999999999,, Look on image,Automatic
351,CL023,ASD01,MS,,,,,7000096439,2019-06-27,,,2019-06-27,2019-06-27,,,1123.69,0.2,1348.428,, Look on image,Automatic
352,CL023,ASD01,MS,,,,,7000096440,2019-06-27,,,2019-06-27,2019-06-27,,,1123.69,0.2,1348.428,, Look on image,Automatic
353,CL023,ASD01,MS,,,,,7000096441,2019-06-27,,,2019-06-27,2019-06-27,,,1123.69,0.2,1348.428,, Look on image,Automatic
354,CL023,ASD01,MS,,,,,7000096442,2019-06-27,,,2019-06-27,2019-06-27,,,1785.00,0.2,2142.0,, Look on image,Automatic
