,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
131,CL002,ASD01,FX,,,,Fixed Agreement,7000123721,2020-09-29,1000061147,,2020-09-01,2020-09-01,,,314.13,0.2,376.95599999999996,,ASDA Media Partnership Income,Automatic
132,CL002,ASD01,PR,E,,,Volume Agreement,7000123830,2020-09-30,1000051100,50370876.0,2020-09-10,2020-09-30,97238.0,0.5,48619.0,0.0,48619.0,,,Automatic
133,CL002,ASD01,PR,E,,,Volume Agreement,7000123852,2020-09-30,1000053259,50753563.0,2020-09-10,2020-09-30,19557.0,0.74,14472.18,0.0,14472.18,,,Automatic
134,CL002,ASD01,MS,,,,,7000123971,2021-09-20,,,2021-09-20,2021-09-20,,,20.00,0.0,20.0,, Look on image,Automatic
135,CL002,ASD01,PR,E,,,Volume Agreement,7000124011,2022-08-31,1000195465,50100710.0,2022-08-11,2022-08-31,6824.0,0.3,2047.1999999999998,0.2,2456.64,,,Automatic
136,CL002,ASD01,PR,E,,,Volume Agreement,7000124011,2022-08-31,1000195465,50148457.0,2022-08-11,2022-08-31,4360.0,0.3,1307.9999999999998,0.2,1569.5999999999997,,,Automatic
137,CL002,ASD01,PR,E,,,Volume Agreement,7000124095,2022-09-09,1000193277,5949275.0,2022-09-01,2022-09-07,3015.0,0.24,723.5999999999999,0.2,868.3199999999998,,,Automatic
138,CL002,ASD01,PR,E,,,Volume Agreement,7000124095,2022-09-09,1000193277,50308084.0,2022-09-01,2022-09-07,14323.0,0.24,3437.52,0.2,4125.023999999999,,,Automatic
139,CL002,ASD01,PR,E,,,Volume Agreement,7000124095,2022-09-09,1000193277,5949268.0,2022-09-01,2022-09-07,27678.0,0.24,6642.719999999999,0.2,7971.263999999999,,,Automatic
140,CL002,ASD01,PR,E,,,Volume Agreement,7000124095,2022-09-09,1000193277,50308085.0,2022-09-01,2022-09-07,46783.0,0.24,11227.919999999998,0.2,13473.503999999997,,,Automatic
141,CL002,ASD01,PR,E,,,Volume Agreement,7000124110,2022-09-09,1000195136,50593671.0,2022-09-01,2022-09-07,20791.0,0.52,10811.32,0.0,10811.32,,,Automatic
