Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Item No,Item Desc
CL004,MOR01,110892919,,
CL004,MOR01,108536211,,
CL004,MOR01,109826148,,
CL004,MOR01,100001579,,
CL004,MOR01,111984436,,
CL004,MOR01,108537281,,
CL004,MOR01,110403185,,
CL004,MOR01,105730093,,
CL004,MOR01,105655572,,
CL004,MOR01,103262994,,
CL004,MOR01,100001667,,
CL004,MOR01,104131540,,
CL004,MOR01,111384553,,
CL004,MOR01,112462841,,
CL004,MOR01,110794673,,
CL004,MOR01,111403945,,
CL004,MOR01,108536245,,
CL004,MOR01,110898923,,
CL004,MOR01,104081327,,
CL004,MOR01,108537310,,
CL004,MOR01,102855093,,
CL004,MOR01,108537344,,
CL004,MOR01,108536309,,
CL004,MOR01,112458067,,
CL004,MOR01,108247355,,
CL004,MOR01,108537379,,
CL004,MOR01,110712738,,
CL004,MOR01,100001605,,
CL004,MOR01,110782402,,
CL004,MOR01,111097124,,
CL004,MOR01,100002565,,
CL004,MOR01,108531655,,
CL004,MOR01,100002558,,
CL004,MOR01,112117377,,
CL004,MOR01,106342931,,
CL004,MOR01,110794737,,
CL004,MOR01,109826068,,
CL004,MOR01,101799309,,
CL004,MOR01,110712682,,
CL004,MOR01,111984508,,
CL004,MOR01,112114133,,
CL004,MOR01,111405131,,
CL004,MOR01,112458201,,
CL004,MOR01,111147662,,
CL004,MOR01,112458374,,
CL004,MOR01,111097301,,
CL004,MOR01,107258095,,
CL004,MOR01,111037033,,
CL004,MOR01,110892978,,
CL004,MOR01,111367340,,
CL004,MOR01,111037084,,
CL004,MOR01,104917833,,
CL004,MOR01,111406302,,
CL004,MOR01,100001604,,
CL004,MOR01,110994114,,
CL004,MOR01,111984532,,
CL004,MOR01,109826025,,
CL004,MOR01,108536181,,
CL004,MOR01,111984461,,
CL004,MOR01,110403126,,
CL004,MOR01,100001707,,
CL004,MOR01,105737631,,
CL004,MOR01,111394145,,
CL004,MOR01,111999662,,
CL004,MOR01,105725307,,
CL004,MOR01,104749868,,
CL004,MOR01,111127696,,
CL004,MOR01,106178704,,
CL004,MOR01,112458307,,
CL004,MOR01,100001708,,
CL004,MOR01,109257601,,
CL004,MOR01,111293441,,
CL004,MOR01,111378209,,
CL005,MOR01,108321033,,
CL005,MOR01,111580280,,
CL005,MOR01,112424043,,
CL005,MOR01,104889511,,
CL005,MOR01,100157128,,
CL005,MOR01,105920399,,
CL005,MOR01,112379529,,
CL005,MOR01,110802240,,
CL005,MOR01,106047755,,
CL005,MOR01,108280649,,
CL005,MOR01,105137863,,
CL005,MOR01,107616139,,
CL005,MOR01,110697582,,
CL005,MOR01,112284221,,
CL005,MOR01,111268587,,
CL005,MOR01,104025923,,
CL005,MOR01,110688361,,
CL005,MOR01,107140978,,
CL005,MOR01,107616180,,
CL005,MOR01,109633581,,
CL005,MOR01,109823772,,
CL005,MOR01,107140089,,
CL005,MOR01,111268739,,
CL005,MOR01,111580159,,
CL005,MOR01,112387975,,
CL005,MOR01,108434290,,
CL005,MOR01,111049085,,
CL005,MOR01,103955539,,
CL005,MOR01,104461899,,
CL005,MOR01,108321068,,
CL005,MOR01,103955491,,
CL005,MOR01,105133301,,
CL005,MOR01,105232756,,
CL005,MOR01,100916227,,
CL005,MOR01,100383715,,
CL005,MOR01,111865592,,
CL005,MOR01,110802021,,
CL005,MOR01,111592483,,
CL005,MOR01,100162461,,
CL005,MOR01,112379318,,
CL005,MOR01,104025835,,
CL005,MOR01,104029203,,
CL005,MOR01,111268421,,
CL005,MOR01,104469073,,
CL005,MOR01,105134822,,
CL005,MOR01,109354110,,
CL005,MOR01,100144247,,
CL005,MOR01,100157048,,
CL005,MOR01,112284280,,
CL005,MOR01,100144212,,
CL005,MOR01,100143682,,
CL005,MOR01,110355814,,
CL005,MOR01,109354072,,
CL005,MOR01,108320891,,
CL005,MOR01,110960926,,
CL005,MOR01,100162470,,
CL005,MOR01,100110573,,
CL005,MOR01,107848116,,
CL005,MOR01,112379385,,
CL005,MOR01,108649434,,
CL005,MOR01,110960846,,
CL005,MOR01,109759467,,
CL005,MOR01,111203151,,
CL005,MOR01,110951229,,
CL005,MOR01,111053181,,
CL005,MOR01,108716781,,
CL005,MOR01,106101539,,
CL005,MOR01,111053164,,
CL005,MOR01,104068878,,
CL005,MOR01,110802160,,
CL005,MOR01,106500901,,
CL005,MOR01,108379614,,
CL005,MOR01,100101036,,
CL005,MOR01,106324919,,
CL005,MOR01,111865437,,
CL005,MOR01,110097851,,
CL005,MOR01,103954931,,
CL005,MOR01,104889481,,
CL005,MOR01,100157312,,
CL005,MOR01,105384039,,
CL005,MOR01,110383920,,
CL005,MOR01,104998240,,
CL005,MOR01,100101044,,
CL005,MOR01,105383968,,
CL005,MOR01,100162998,,
CL005,MOR01,105920575,,
CL005,MOR01,110383891,,
CL005,MOR01,105611545,,
CL005,MOR01,103955176,,
CL005,MOR01,110355873,,
CL005,MOR01,106047721,,
CL005,MOR01,110856310,,
CL005,MOR01,103955408,,
CL005,MOR01,110048099,,
CL005,MOR01,111048971,,
CL005,MOR01,100272361,,
CL005,MOR01,104366832,,
CL005,MOR01,100108828,,
CL005,MOR01,112255825,,
CL005,MOR01,110697689,,
CL005,MOR01,100143703,,
CL005,MOR01,110355902,,
CL005,MOR01,107140011,,
CL005,MOR01,110355849,,
CL005,MOR01,105232801,,
CL005,MOR01,100157056,,
CL005,MOR01,103954886,,
CL005,MOR01,104029334,,
CL005,MOR01,106929707,,
CL005,MOR01,108760010,,
CL005,MOR01,111048841,,
CL005,MOR01,100157769,,
CL005,MOR01,100144343,,
CL005,MOR01,105134785,,
CL005,MOR01,104029262,,
CL005,MOR01,112379297,,
CL005,MOR01,104031055,,
CL005,MOR01,100144319,,
CL005,MOR01,100157793,,
CL005,MOR01,110960707,,
CL005,MOR01,111268675,,
CL005,MOR01,100144335,,
CL005,MOR01,110383954,,
CL005,MOR01,103955459,,
CL005,MOR01,108434265,,
CL005,MOR01,104912362,,
CL005,MOR01,104889457,,
CL005,MOR01,109759491,,
CL005,MOR01,105137986,,
CL005,MOR01,106021791,,
CL005,MOR01,104460829,,
CL005,MOR01,108895977,,
CL005,MOR01,104536424,,
CL005,MOR01,106351255,,
CL005,MOR01,112276036,,
CL005,MOR01,106098106,,
CL005,MOR01,104025958,,
CL005,MOR01,108320962,,
CL005,MOR01,108786463,,
CL005,MOR01,105920621,,
CL005,MOR01,111865525,,
CL005,MOR01,107506052,,
CL005,MOR01,104998207,,
CL005,MOR01,110706590,,
CL005,MOR01,100157110,,
CL005,MOR01,104025860,,
