0,1,2,3,4,5,6
ASD01,7000016028,1300.0,1560.0,Nett Check,Valentines Marketing,- Activity: Search (Whisky) (2 Weeks)
ASD01,7000096320,3100.0,3720.0,Nett Check,,; ;  Look on image
ASD01,7000016028,1300.0,1560.0,Gross Check,Valentines Marketing,- Activity: Search (Whisky) (2 Weeks)
ASD01,7000062069,4675.0,5610.0,Gross Check,,; ;  Look on image
ASD01,7000016028,1300.0,1560.0,Gross Check,Valentines Marketing,- Activity: Search (Whisky) (2 Weeks)
ASD01,7000132236,4675.0,5610.0,Gross Check,,; ;  Look on image
ASD01,7000016028,1300.0,1560.0,Gross Check,Valentines Marketing,- Activity: Search (Whisky) (2 Weeks)
ASD01,7000132227,4675.0,5610.0,Gross Check,,; ;  Look on image
ASD01,7000105163,14550.0,17460.0,Nett Check,TUC ORIGINAL ORIG 150G,gate fee
ASD01,7000010601,15540.0,18648.0,Nett Check,,; ;  Look on image
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000067508,13020.0,15624.0,Nett Check,Branded Shippers,- Branded Shippers (EG) / Live: 21.05.20 - 27.05.20 / SP Pladis Mini Cheddars Shipper P6 May20
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV DIGESTIVES DARK 433G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV DIGESTIVES MILK 433G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV CHOCOLATE HOBNOB MILK 636G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,JAFFA CAKE TWIN  244G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV DIGS TWISTS CARAML 276G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV DIGS TWISTS COCONT 276G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV HOBNOB CHCHIP 300G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,PENGUIN BARS MILK 8X24.6,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV CLUB BAR ORANGE 7X24G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV GOLD BAR  7X18G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV JAFFA CAKES PRESNT 488G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV DIGESTIVES GINGER 250G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV DIGESTIVES PUDD 250G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,JACOBS SAVOURS SLT/PP 200G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,JACOBS SAVOURS SCRM 150G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,TUC SANDWICH ORIG 150G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV VIB BORANG 250G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV VIB CARAML 250G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV VIB CHOCHZ 250G,Gate Fee
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000131065,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000057954,10230.0,12276.0,Nett Check,MCV MINI ROLLS JAFFA 5PK,
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000171457,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000152848,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000158703,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000114145,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,Gate Fee
ASD01,7000011799,10230.0,12276.0,Nett Check,,; ;  Look on image
ASD01,7000130159,10000.0,12000.0,Gross Check,JACOBS MINI CHEDDARS NACHO 6X25G,gate fee
ASD01,7000188078,17500.0,21000.0,Gross Check,,; ;  Look on image
ASD01,7000020314,3000.0,3600.0,Gross Check,Digital Marketing,- Search Bundle Leaderboard/MPU (biscuits) / Live: 27.02.20 - 25.03.20 / SP Pladis
ASD01,7000075650,2550.0,3060.0,Gross Check,,; ;  Look on image
ASD01,7000020314,3000.0,3600.0,Gross Check,Digital Marketing,- Search Bundle Leaderboard/MPU (biscuits) / Live: 27.02.20 - 25.03.20 / SP Pladis
ASD01,7000096316,2550.0,3060.0,Gross Check,,; ;  Look on image
