,Vendor_Name,Retailer_Invoice
19926,SAINSBURYS,FD368913 / 01
19927,MORRISONS,2020973603629
19928,MORRISONS,20211210772982
19929,WAITROSE,70171229693
19930,COOP,TI01019191
19931,MORRISONS,20221746518562
19932,COOP,TI01090716
19933,BESTWAY,1098432
19934,NISA,1PRINV/00002440
19935,ICELAND,ADD14197/5120
19936,COOP,TI01182076
19937,TESCO,2100886615
19938,TESCO,2100339761
19939,COOP,TI01077618
19940,COOP,TI01279878
19941,TESCO,EL126161
19942,MORRISONS,20211177071357
19943,MORRISONS,20211190531799
19944,COOP,TI01057272
19945,ICELAND,ADD18505/3322
19946,ASDA,7000120578
19947,TESCO,1002100485328
19948,SAINSBURYS,RP8029/U0200/001
19949,BOOKER,1801775111
19950,ASDA,7000089744
19951,BESTWAY,0093852805
19952,COOP,TI01068638
19953,BOOKER,90776720
19954,WAITROSE,4700156288
19955,COOP,TI01224825
19956,TESCO,2100354195
19957,COOP,TI00964749
19958,COOP,TI00989822
19959,SAINSBURYS,RP7340/U0200/003
19960,TESCO,2100544484
19961,SAINSBURYS,RP7548/U0200/003
19962,SAINSBURYS,RP8847/U0200/002
19963,ICELAND,ADD14500/521
19964,BOOKER,1801802275
19965,COOP,TI00967761
19966,COOP,TI01049175
19967,ICELAND,996/1323
19968,MORRISONS,20232085102931
19969,COOP,TI01224822
19970,BOOKER,90702543
19971,BOOKER,1801871242
19972,COOP,TI01159314
19973,SAINSBURYS,RP2333/U0200/001
19974,BOOKER,90708699
19975,COOP,TI01007752
19976,AMAZON,5800780604
19977,TESCO,2100354192
19978,SAINSBURYS,PD20801541
19979,MORRISONS,20202020867175742
19980,COOP,TI01007088
19981,BESTWAY,1044427
19982,ASDA,7000086261
19983,TESCO,2100724244
19984,MORRISONS,20221948754912
19985,ASDA,7000028370
19986,MORRISONS,20221727779184
19987,BOOKER,90702546
19988,COOP,TI00946336
19989,COOP,TI00996533
19990,COOP,TI01216110
19991,TESCO,2100410666
19992,COOP,TI00892130
19993,BESTWAY,938453
19994,COSTCO,DF373907-1
19995,BOOKER,90784287
19996,ASDA,7000052697
19997,TESCO,1002100576979
19998,SAINSBURYS,HSX41165
19999,MORRISONS,202113439273
20000,COOP,TI00872907
20001,COOP,TI01026077
20002,COOP,TI01213114
20003,SAINSBURYS,RP2203/U0200/004
20004,MORRISONS,20211424030979
20005,MANDS,5100325968
20006,SAINSBURYS,RP3927/U0200/002
20007,MORRISONS,2019841348422
20008,MORRISONS,2020856160957
20009,MORRISONS,20221705941880
20010,COOP,TI00908465
20011,COOP,TI00926468
20012,B & M STORES,DN014369
20013,TESCO,2100708217
20014,AMAZON,2085195149VCBSINV
20015,ICELAND,20968/1524
20016,TESCO,2100309610
20017,SAINSBURYS,RP8029/U0200/004
20018,COOP,TI00953912
20019,ASDA,7000143780
20020,WAITROSE,0093833674
20021,BOOKER,94060014
20022,MORRISONS,20221921576822
20023,SAINSBURYS,RP6833/U0200/002
20024,SAINSBURYS,RP7021/U0200/001
20025,SPAR,LCII27224
20026,COOP,TI01082013
20027,BESTWAY,1181541/1049507
20028,TESCO,2100897222
20029,TESCO,2100336656
20030,TESCO,2100336155
20031,MORRISONS,2020931867192
20032,COSTCO,R108144326
20033,TESCO,2100854711
20034,SAINSBURYS,RP589/U0200/004
20035,MORRISONS,2019858950482
20036,ICELAND,329/1121
20037,COOP,TI00980941
20038,COOP,TI01001800
20039,WAITROSE,4700151200
20040,MORRISONS,20233583411
20041,SAINSBURYS,RP2265/U0200/001
20042,MORRISONS,20221461825547
20043,ONESTOP,106415
20044,COOP,TI01229383
20045,MORRISONS,2019856160297
20046,COOP,TI01128757
20047,MORRISONS,20222074766492
20048,MORRISONS,20201020500098
20049,MORRISONS,20211383737759
20050,BESTWAY,908454
20051,SPAR,75925
20052,COOP,TI01043578
20053,MORRISONS,2020992126022
20054,COSTCO,R101238800
20055,COOP,TI01149679
20056,MORRISONS,20221898462876
20057,MORRISONS,20232085102930
20058,SAINSBURYS,SIN-202207-556
20059,COOP,TI01285990
20060,TESCO,2100397228
20061,SAINSBURYS,RP3350/U0200/002
20062,MORRISONS,20211354865834
20063,BESTWAY,934622
20064,B & M STORES,DN513815
20065,SPAR,46/152660
20066,BOOKER,90811012
20067,TESCO,2100538282
20068,MORRISONS,20221557674828
20069,COOP,TI00827346
20070,COOP,TI00988139
20071,ICELAND,1801927663
20072,LIDL,PRICE CLAIM
20073,SAINSBURYS,07098767
20074,MORRISONS,20211299724422
20075,WAITROSE,70171287215
20076,COOP,TI00905299
20077,BESTWAY,964556
20078,COOP,TI01011677
20079,MANDS,5101164413
20080,MORRISONS,20232219704573
20081,ASDA,7000106098
20082,TESCO,2100340399
20083,TESCO,1002100490699
20084,MORRISONS,20202020856159215
20085,MORRISONS,20201020499795
20086,BESTWAY,1101677
20087,COOP,TI01175534
20088,TESCO,270210483
20089,MORRISONS,2020942967071
20090,NISA,T285120
20091,COOP,TI01136855
20092,MORRISONS,20232116042451
20093,SAINSBURYS,RP8120/U0200/003
20094,ASDA,7000075576
20095,SAINSBURYS,RP2763/U0200/004
20096,COOP,TI00924579
20097,COOP,TI01060738
20098,ASDA,7000060214
20099,MORRISONS,20211392500802
20100,MORRISONS,21 BULK INVOICES
20101,MORRISONS,20221505123184
20102,COOP,TI00878017
20103,TESCO,2100737554
20104,SAINSBURYS,RP868/U0200/004
20105,BOOKER,90713519
20106,TESCO,1002100685194
20107,TESCO,2100833946
20108,COOP,VI00027257
20109,ASDA,7000048848
20110,SAINSBURYS,PD10764261
20111,MORRISONS,2020886480545
20112,ICELAND,ADD14198/121
20113,NISA,T285327
20114,SPAR,75926
20115,COOP,TI01118756
20116,ICELAND,1802096598
20117,COOP,TI00995362
20118,SAINSBURYS,RP9614/U0200/002
20119,MORRISONS,2020948981445
20120,NISA,1358001O
20121,WAITROSE,70171271490
20122,SPAR,73377
20123,BOOKER,90717703
20124,MANDS,5101164397
20125,SAINSBURYS,RP3771/U0200/001
20126,COOP,TI00970632
20127,COSTCO,395798
20128,COOP,TI01118759
20129,TESCO,2100681115
20130,BESTWAY,A01140577
20131,TESCO,2100505124
20132,TESCO,1002100636725
20133,BESTWAY,974923
20134,COOP,TI01074849
20135,COOP,TI01222735
20136,ASDA,7000166477
20137,ONESTOP,INV-104438
20138,COOP,TI00956476
20139,COOP,TI01164390
20140,MORRISONS,20221785782531
20141,UNITAS,UNSI0024454
20142,BOOKER,90810857
20143,ASDA,7000030281
20144,TESCO,2100388158
20145,COOP,TI01213122
20146,ICELAND,20519/1224
20147,ASDA,7000083273
20148,COOP,TI00922305
20149,BESTWAY,1037270
20150,ASDA,7000165889
20151,ASDA,7000015815
20152,COOP,TI00956478
20153,SAINSBURYS,RP3625/U0200/00
20154,COOP,TI01285054
20155,ASDA,7000089941
20156,MORRISONS,20211073565099
20157,COOP,TI00867286
20158,ICELAND,424/ 2222
20159,COOP,TI01054116
20160,LIDL,24697
20161,ASDA,7000169157
20162,MORRISONS,2020862584013
20163,COOP,TI00825700
20164,ICELAND,622/3122
20165,BESTWAY,1055413
20166,COOP,TI01136853
20167,MORRISONS,20232251164274
20168,TESCO,2100652965
20169,COOP,TI00961180
20170,TESCO,2100351829
20171,TESCO,2100642355
20172,WAITROSE,70171298749
20173,BESTWAY,966040
20174,COOP,TI01060750
20175,COOP,TI01125120
20176,TESCO,2100726588
20177,ASDA,7000126062
20178,MORRISONS,20200093846631
20179,MORRISONS,2020987452496
20180,COOP,TI00848578
20181,COOP,TI00974076
20182,COOP,TI01212379
20183,ICELAND,908/0624
20184,ASDA,7000042297
